title,price,location,time,status,seller_nickname,description,image_count,chat_count,interest_count,view_count,manner_temperature,url
알레시(Alessi) '비엔나(Vienna)' 쓰레기통 휴지통,"300,000원",대전 서구 둔산동,끌올 1시간 전,판매중,우왘,"알레시(Alessi)**의 '비엔나(Vienna)' 쓰레기통입니다. 실제로는 비닐 및 쇼핑백 보관용으로 썼습니다. 아실 만한 분들만 구매하실 테니 설명은 필요도 없겠지만, 설명은 아래와 같습니다. 아래는 제미나이 검색내용입니다. ​유명 디자이너 **알레산드로 멘디니(Alessandro Mendini)**가 디자인한 제품으로, 고전적인 휴지통 실루엣에 화려한 금색 핸들과 노브(손잡이)를 더해 포스트모던한 감성을 담아낸 것이 특징입니다. ​제품 상세 정보 ​브랜드: 알레시 (Alessi) ​디자이너: 알레산드로 멘디니 (Alessandro Mendini) ​특징: 본체 전면에 특유의 별 모양(*) 양각 로고가 있으며, 화려한 바로크 스타일의 금색 손잡이가 달려 있습니다. 페달식으로 작동하며 내부에 별도의 버킷이 포함된 구조입니다.​ 이 제품은 현재 단종되었거나 구하기 힘든 빈티지 디자인 소품으로 분류되어 컬렉터들 사이에서 인기가 높습니다. 해외 빈티지 사이트에서는 상태에 따라 $400 ~ $600 선에 거래되기도 합니다.",14,0,2,133,48.4°C,https://www.daangn.com/kr/buy-sell/%EC%95%8C%EB%A0%88%EC%8B%9C-alessi-%EB%B9%84%EC%97%94%EB%82%98-vienna-%EC%93%B0%EB%A0%88%EA%B8%B0%ED%86%B5-%ED%9C%B4%EC%A7%80%ED%86%B5-ikmpjqe9a5h3/
르쿠르제 루크루제 무쇠 냄비 22cm 옐로우 찜기포함,"150,000원",대전 서구 둔산동,끌올 1시간 전,판매중,우왘,르쿠르제 르크루제 무쇠 냄비 22cm 옐로우 색상입니다 찜기 함께 드립니다 무쇠 재질로 열 보존율이 뛰어나 요리가 맛있게 됩니다 색감 정말 예뻐요. 제품만 있습니다.,11,0,8,246,48.4°C,https://www.daangn.com/kr/buy-sell/%EB%A5%B4%EC%BF%A0%EB%A5%B4%EC%A0%9C-%EB%A3%A8%ED%81%AC%EB%A3%A8%EC%A0%9C-%EB%AC%B4%EC%87%A0-%EB%83%84%EB%B9%84-22cm-%EC%98%90%EB%A1%9C%EC%9A%B0-%EC%B0%9C%EA%B8%B0%ED%8F%AC%ED%95%A8-ewdair5keznc/
티파니앤코 리턴 투 하트 팔찌팝니다,"150,000원",대전 서구 둔산동,1시간 전,판매중,징니,"티파니앤코 리턴 투 티파니 팔찌입니다 면세에서 구매한 정품인데 상자 케이스는 없고 더스트백만 있어요 사이즈는xs이였던걸로 기억하는데 제 손목둘레는 14cm정도 되네요, 팬던트에 생활기스는 있는점 유의해주세요",8,0,3,50,38.5°C,https://www.daangn.com/kr/buy-sell/%ED%8B%B0%ED%8C%8C%EB%8B%88%EC%95%A4%EC%BD%94-%EB%A6%AC%ED%84%B4-%ED%88%AC-%ED%95%98%ED%8A%B8-%ED%8C%94%EC%B0%8C%ED%8C%9D%EB%8B%88%EB%8B%A4-d6h7izydtngw/
중소기업 인사노무관리.단편소설 책.도서,500원,경기 수원시 영통구 매탄동,끌올 1시간 전,판매중,서영화광,권당 입니다 거래는 용머리어린이공원.오룡역 근처에서 합니다.  구매자가 원하는 위치도 가능합니다. 택배 및 반값택배 가능합니다 직장 때문에 답변이 늦을 수 있어요. 문자 남겨주시면 늦어도 저녁 쯤 답장 보내드릴게요,5,0,0,8,53.7°C,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85-%EC%9D%B8%EC%82%AC%EB%85%B8%EB%AC%B4%EA%B4%80%EB%A6%AC-%EB%8B%A8%ED%8E%B8%EC%86%8C%EC%84%A4-%EC%B1%85-%EB%8F%84%EC%84%9C-erxvicx355ou/
샌디스크 익스트림 프로 듀얼 드라이브 2TB 미개봉,"225,000원",대전 서구 둔산동,끌올 1시간 전,판매중,pacosanta,샌디스크 익스트림 프로 듀얼 드라이브 2TB  - 미개봉 신품,5,0,5,93,47.6°C,https://www.daangn.com/kr/buy-sell/%EC%83%8C%EB%94%94%EC%8A%A4%ED%81%AC-%EC%9D%B5%EC%8A%A4%ED%8A%B8%EB%A6%BC-%ED%94%84%EB%A1%9C-%EB%93%80%EC%96%BC-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8C-2tb-%EB%AF%B8%EA%B0%9C%EB%B4%89-ynczcq47g22o/
대형 칠판 판매(3400*1250),"300,000원",대전 서구 둔산동,1시간 전,판매중,겨울체리,"학원 정리로 인해 대형 칠판 판매합니다. 사이즈는 3400*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 100만원 넘게 주고 설치한 제품입니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5,1,0,12,36.7°C,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%EC%B9%A0%ED%8C%90-%ED%8C%90%EB%A7%A4-3400-1250-8c4qwhf7k1om/
"진도 엘페 다이애나 블랙 55 새상품급,가격내림73만","730,000원",대전 서구 둔산동,끌올 1시간 전,판매중,이진이봄이,"고급스러운 SAGA RANCH 블랙 밍크 자켓입니다 전체적으로 상태 양호하며, 밍크 특유의 윤기가 살아있어 고급스러움을 더해줍니다 가슴둘레 91cm, 엉덩이둘레 98cm, 신장 160cm에 적합한 55사이즈입니다 따뜻하고 세련된 디자인으로 다양한 스타일에 매치하기 좋습니다 유행안타는 디자인으로 젊어보이는 밍크입니다 최상급 다이애나 블랙으로 입으면 더 고급스러워요  오백만원 넘게 신세계 강남에서 구매후 다른 밍크를 입느라고 몇번 안입어서 상태 좋습니다 득템하세요  73만 노리턴 노환불 매너거래 원해요  택배가능 착불",9,2,12,423,59.5°C,https://www.daangn.com/kr/buy-sell/%EC%A7%84%EB%8F%84-%EC%97%98%ED%8E%98-%EB%8B%A4%EC%9D%B4%EC%95%A0%EB%82%98-%EB%B8%94%EB%9E%99-55-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-%EA%B0%80%EA%B2%A9%EB%82%B4%EB%A6%BC73%EB%A7%8C-99cyv8f7mivj/
베고니아 스카피게라,"8,000원",대전 서구 둔산동,1시간 전,판매중,딩가,"약간의 광택이 있는 동글동글 연두잎, 테두리는 붉은 라인이 특징이에요. 화분 : 지름 6.5cm  팔각",10,0,0,9,90.9°C,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EA%B3%A0%EB%8B%88%EC%95%84-%EC%8A%A4%EC%B9%B4%ED%94%BC%EA%B2%8C%EB%9D%BC-noju5qrdor4o/
(새상품)독학으로 끝내는 금융공기업 논술,"4,000원",대전 서구 둔산동,끌올 1시간 전,판매중,또또106,금융공기업 논술 대비책입니다. 완전 새책이에요 27000-> 5000,5,0,1,16,39.0°C,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%8F%85%ED%95%99%EC%9C%BC%EB%A1%9C-%EB%81%9D%EB%82%B4%EB%8A%94-%EA%B8%88%EC%9C%B5%EA%B3%B5%EA%B8%B0%EC%97%85-%EB%85%BC%EC%88%A0-f9c14qqi1496/
공기업 NCS 독학으로 끝내는 PSAT 문제해결+자원관리능력,"4,000원",대전 서구 둔산동,끌올 1시간 전,판매중,또또106,문제랑 해설 세트입니다. 앞에 약간 메모가 되어있는데 풀지는 않았어요! 일괄 5000원,6,0,8,62,39.0°C,https://www.daangn.com/kr/buy-sell/%EA%B3%B5%EA%B8%B0%EC%97%85-ncs-%EB%8F%85%ED%95%99%EC%9C%BC%EB%A1%9C-%EB%81%9D%EB%82%B4%EB%8A%94-psat-%EB%AC%B8%EC%A0%9C%ED%95%B4%EA%B2%B0-%EC%9E%90%EC%9B%90%EA%B4%80%EB%A6%AC%EB%8A%A5%EB%A0%A5-s82srk12p9uu/
공룡 피규어 15종 세트,"2,000원",대전 서구 둔산동,끌올 1시간 전,판매중,사색하는토끼,"다양한 종류와 색상의 공룡 피규어 세트입니다 총 15개이고 아이들이 가지고 놀기 좋은 사이즈입니다 깨끗하게 갖고 놀았지만 중고상품인 점 감안하셔야 하고, 구매 후 환불이나 반품은 불가하니 신중하게 구매 부탁드립니다",7,0,0,51,37.6°C,https://www.daangn.com/kr/buy-sell/%EA%B3%B5%EB%A3%A1-%ED%94%BC%EA%B7%9C%EC%96%B4-15%EC%A2%85-%EC%84%B8%ED%8A%B8-x3j9k4drrqem/
