title,price,location,time,status,category
애플 에어팟 4세대 미개봉 새제품,"160,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치6 44mm 스테인리스,"200,000원",대전 유성구 반석동,끌올 8개월 전,판매중,디지털기기
아이패드 프로 4세대 12.9 512gb 셀룰러 + 애플펜슬 + 스마트 키보드 풀세트,"1,000,000원",대전 유성구 원신흥동,끌올 8개월 전,판매중,디지털기기
"아이패드 프로4세대12.9 128GB,매직키보드 애플펜슬2세대","830,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
아이패드 에어 11 m2 128기가 + 애플팬슬 프로 판매합니다,"780,000원",대전 유성구 온천2동,7개월 전,판매중,디지털기기
✨사용X✨애플 매직 트랙패드2 화이트(풀박스),"95,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플펜슬 2세대,"65,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플 매직 마우스2 블랙,"50,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
Apple 2020년 애플워치 6 GPS + 셀룰러 44mm 레귤러,"200,000원",대전 서구 도안동,끌올 9개월 전,판매중,디지털기기
"급처 아이패드 프로 12.9인치 4세대 256기가 와이파이, 애플펜슬 2세대","680,000원",대전 유성구 온천1동,끌올 7개월 전,판매중,디지털기기
아이패드 에어3 64G + 애플펜슬 1세대,"230,000원",대전 유성구 봉명동,끌올 6개월 전,판매중,디지털기기
애플워치 se2 블랙 44mm,"100,000원",대전 유성구 봉명동,끌올 9개월 전,판매중,디지털기기
애플 에어팟 프로 2세대 팝니다,"150,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
"애플 맥북 프로 16인치 m1, 16g 512g","900,000원",대전 유성구 용산동,3개월 전,판매중,디지털기기
미개봉 애플워치 SE 2023 40mm GPS (쿨거시 네고가능),"265,000원",대전 서구 갈마1동,끌올 9개월 전,판매중,디지털기기
애플 펜슬 2세대 A2051,"60,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플워치 se2 40mm 셀룰러 풀박스,"150,000원",부산 사상구 괘법동,3개월 전,판매중,디지털기기
미개봉 애플펜슬프로 팝니다!,"140,000원",대전 유성구 봉명동,9개월 전,판매중,디지털기기
아이패드 에어4 스페이스그레이 256GB + 애플펜슬2세대,"530,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플워치6 40mm 스테인리스,"180,000원",대전 유성구 반석동,끌올 7개월 전,판매중,디지털기기
아이패드 에어3 64gb 로즈골드 + 애플펜슬,"200,000원",경기 수원시 권선구 곡반정동,2개월 전,판매중,디지털기기
"아이패드 프로 11인치형 M1 128 GB WIFI 스그 (배터리 효율 93%)상태 SSS 급, + 애플펜슬 2","650,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
아이패드 에어3 64gb wifi 스그 & 애플펜슬 1세대,"130,000원",대전 유성구 죽동,2개월 전,판매중,디지털기기
애플워치 SE 3 40mm 스페이스 그레이,"250,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 트랙패드 A1535 팝니다,"80,000원",서울시 영등포구 여의동,7개월 전,판매중,디지털기기
아이패드 미니 스페이스 그레이5세대 + 애플펜슬,"180,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치7 45mm,"150,000원",대전 서구 도마2동,8개월 전,판매중,디지털기기
아이패드 에어 5세대 스페이스그레이+애플펜슬 2세대 가격내림,"550,000원",대전 유성구 봉명동,9개월 전,판매중,디지털기기
미개봉 애플 에어팟 4세대,"150,000원",대전 중구 옥계동,2개월 전,판매중,디지털기기
애플 펜슬 프로 새상품,"140,000원",대전 유성구 봉명동,8개월 전,판매중,디지털기기
애플워치 se2 44mm 실버 와이파이,"170,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
아이패드 에어 13 M2 스페이스 그레이 + 애플펜슬 프로 판매,"850,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
[애플] 아이패드 프로11 (4세대) & 매직키보드,"800,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
