title,price,location,time,status,url,seller_nickname,description,image_count
새제품 이케아 MACKAPAR 코트걸이 신발수납 세트,"45,000원",대전 서구 둔산동,54분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%A0%9C%ED%92%88-%EC%9D%B4%EC%BC%80%EC%95%84-mackapar-%EC%BD%94%ED%8A%B8%EA%B1%B8%EC%9D%B4-%EC%8B%A0%EB%B0%9C%EC%88%98%EB%82%A9-%EC%84%B8%ED%8A%B8-g8hkrzwev3uz/,당근소보로,시청역 직거래합니다! 박스채 미개봉 미사용,6
"갤럭시 a23 128gb 블랙, 화이트","100,000원",대전 서구 둔산동,56분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-a23-128gb-%EB%B8%94%EB%9E%99-%ED%99%94%EC%9D%B4%ED%8A%B8-uirku8g8k4mg/,잔소리쟁이,사무실에서 사용하던 폰 정리합니다!! 정상해지된 폰입니다!! 연락주세요! 개당 10만,6
센트룸 맨 더블업 60정(2개월분) 3개 새상품,"15,000원",대전 서구 둔산동,끌올 56분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%BC%ED%8A%B8%EB%A3%B8-%EB%A7%A8-%EB%8D%94%EB%B8%94%EC%97%85-60%EC%A0%95-2%EA%B0%9C%EC%9B%94%EB%B6%84-3%EA%B0%9C-%EC%83%88%EC%83%81%ED%92%88-68dsz2jmme4t/,로렌맘,센트룸 맨 더블업 60정 3개 개봉안한 새제품입니다 1개당 15000원에 판매할게요 남성을 위한 23가지 비타민과 미네랄을 함유하고 있습니다 소비기한은 2026년 11월 5일까지입니다 비대면문고리거래요!,6
주식 투자 도서 3권,"6,000원",대전 서구 둔산동,끌올 57분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A3%BC%EC%8B%9D-%ED%88%AC%EC%9E%90-%EB%8F%84%EC%84%9C-3%EA%B6%8C-xx5qwouieg6h/,달팽이전문가10년차,주식 투자 관련 도서 3권 - 제시 리버모어 - 승률 게임 - 데이트레이딩 상태는 사진 참고해주세요~ 상태는좋습니다 내부도 새책처럼깔끔합니다 가격은 개별가격입니당 교환환불xxxxxx,6
베고니아 신밧드,"5,000원",대전 서구 둔산동,58분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EA%B3%A0%EB%8B%88%EC%95%84-%EC%8B%A0%EB%B0%A7%EB%93%9C-u2prffs5tvxf/,딩가,목베고니아 신밧드입니다. 화분 : 지름 8cm,9
Mackage Moritz-X 블랙 패딩 40사이즈,"620,000원",대전 서구 둔산동,끌올 59분 전,판매중,https://www.daangn.com/kr/buy-sell/mackage-moritz-x-%EB%B8%94%EB%9E%99-%ED%8C%A8%EB%94%A9-40%EC%82%AC%EC%9D%B4%EC%A6%88-szopsdkaeof5/,당근도둑,맥케이지 모르츠 X 블랙 실버퍼 패딩입니다 사이즈는 40사이즈입니다 실착은 l-xl정도 됩니다! 네고 가능합니다  궁금하신건 사진 더 찍어서 보내줄수 있어요 편하게 연락주세요!,11
4월 전일정 박효신 A&E 2026 인천 콘서트,"250,000원",대전 서구 둔산동,60분 전,판매중,https://www.daangn.com/kr/buy-sell/4%EC%9B%94-%EC%A0%84%EC%9D%BC%EC%A0%95-%EB%B0%95%ED%9A%A8%EC%8B%A0-a-e-2026-%EC%9D%B8%EC%B2%9C-%EC%BD%98%EC%84%9C%ED%8A%B8-f8nxdugsbf1w/,누구세용,"박효신 LIVE A & E 2026 인천 콘서트  인천문학경기장 주경기장 4월 4일(토) 연석 FLOOR &3구역 2열  FLOOR &10구역 2열 4월 5일(일) 연석 FLOOR &14구역 1,2열 4월 11일(토) 연석 FLOOR &1구역 1열 FLOOR &4구역 2열  낱개로도 구매가 가능합니다",5
호식이두마리치킨 7천원 요기요 할인쿠폰,300원,대전 동구 대동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%98%B8%EC%8B%9D%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-7%EC%B2%9C%EC%9B%90-%EC%9A%94%EA%B8%B0%EC%9A%94-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-xe2724zwu59s/,당근온도,"요기요 앱에서 호식이두마리치킨 주문 시 사용 가능한 7,000원 할인 쿠폰입니다 2월 11일(수)부터 2월 13일(금)까지 사용 가능합니다",5
슈퍼윙스 월드비행본부,"10,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%88%ED%8D%BC%EC%9C%99%EC%8A%A4-%EC%9B%94%EB%93%9C%EB%B9%84%ED%96%89%EB%B3%B8%EB%B6%80-c56joi89d72c/,byeol,"슈퍼윙스 월드비행본부 입니다 파손, 변색 없이 깨끗합니다 빛, 소리도 잘 나와요 가격제안 받아요~ 환불 X",6
미니빈티지 유리문 나무 수납장,"30,000원",대전 서구 둔산동,1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EB%8B%88%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%9C%A0%EB%A6%AC%EB%AC%B8-%EB%82%98%EB%AC%B4-%EC%88%98%EB%82%A9%EC%9E%A5-zu4f5bo5c33z/,가을바람,빈티지 스타일의 나무 수납장입니다 - 유리문으로 되어있어 내부를 확인할 수 있습니다 - 하단에 서랍 2개가 있어 수납 공간이 넉넉합니다 - 나무 재질로 만들어져 튼튼하고 오래 사용할 수 있습니다 - 갈색톤으로 은은한 분위기를 연출합니다 31-36센치,7
